subset,lower,mean,median,upper
1,1.000000,1.000000,1.000000,1.000000
2,2.000000,1.986562,2.000000,2.000000
3,2.000000,2.949608,3.000000,3.000000
4,3.000000,3.909295,4.000000,4.000000
5,4.000000,4.838746,5.000000,5.000000
6,5.000000,5.746920,6.000000,6.000000
7,5.000000,6.669653,7.000000,7.000000
8,6.000000,7.585666,8.000000,8.000000
9,7.000000,8.451288,9.000000,9.000000
10,8.000000,9.333707,9.000000,10.000000
11,8.000000,10.191489,10.000000,11.000000
12,9.000000,11.034714,11.000000,12.000000
13,9.000000,11.884658,12.000000,13.000000
14,11.000000,12.839866,13.000000,14.000000
15,11.000000,13.517357,14.000000,15.000000
16,12.000000,14.346025,14.000000,16.000000
17,12.000000,15.163494,15.000000,17.000000
18,13.000000,15.946249,16.000000,18.000000
19,14.000000,16.816349,17.000000,19.000000
20,15.000000,17.544233,18.000000,20.000000
21,15.000000,18.305711,18.000000,21.000000
22,16.000000,19.114222,19.000000,22.000000
23,16.000000,19.837626,20.000000,23.000000
24,17.000000,20.581187,21.000000,24.000000
25,18.000000,21.359462,22.000000,24.000000
26,18.000000,22.103024,22.000000,25.000000
27,19.000000,22.717805,23.000000,26.000000
28,19.000000,23.456887,24.000000,27.000000
29,20.000000,24.226204,24.000000,28.000000
30,20.825000,24.920493,25.000000,28.175000
31,21.000000,25.535274,26.000000,30.000000
32,22.000000,26.316909,26.000000,30.000000
33,22.000000,26.902576,27.000000,31.000000
34,23.000000,27.696529,28.000000,32.000000
35,24.000000,28.440090,29.000000,32.000000
36,24.000000,29.029115,29.000000,33.000000
37,24.000000,29.577828,30.000000,34.000000
38,26.000000,30.352744,30.000000,35.000000
39,26.000000,31.019037,31.000000,36.000000
40,27.000000,31.611422,32.000000,36.175000
41,27.000000,32.164614,32.000000,37.000000
42,28.000000,33.044793,33.000000,38.000000
43,28.000000,33.690929,34.000000,39.000000
44,29.000000,34.143337,34.000000,39.000000
45,29.000000,34.799552,35.000000,40.000000
46,30.000000,35.555431,36.000000,41.000000
47,30.000000,35.955207,36.000000,41.000000
48,31.000000,36.820829,37.000000,42.000000
49,31.000000,37.462486,38.000000,43.000000
50,32.000000,37.929451,38.000000,43.000000
51,32.000000,38.670773,39.000000,45.000000
52,33.000000,39.291153,39.000000,45.000000
53,34.000000,39.912654,40.000000,45.000000
54,35.000000,40.468085,40.000000,46.000000
55,34.825000,40.846585,41.000000,46.000000
56,36.000000,41.599104,42.000000,47.000000
57,35.000000,42.260918,42.000000,48.000000
58,36.000000,42.918253,43.000000,49.000000
59,37.000000,43.333707,43.000000,49.000000
60,37.000000,44.193729,44.000000,51.000000
61,38.000000,44.613662,45.000000,51.000000
62,38.000000,44.851064,45.000000,51.000000
63,39.000000,45.637178,46.000000,52.000000
64,40.000000,46.135498,46.000000,53.000000
65,40.000000,46.761478,47.000000,53.000000
66,41.000000,47.400896,48.000000,54.000000
67,41.000000,47.959686,48.000000,55.000000
68,41.825000,48.486002,49.000000,55.000000
