subset,mean
2,0.986562
3,0.963046
4,0.959686
5,0.929451
6,0.908175
7,0.922732
8,0.916013
9,0.865622
10,0.882419
11,0.857783
12,0.843225
13,0.849944
14,0.955207
15,0.677492
16,0.828667
17,0.817469
18,0.782755
19,0.870101
20,0.727884
21,0.761478
22,0.808511
23,0.723404
24,0.743561
25,0.778275
26,0.743561
27,0.614782
28,0.739082
29,0.769317
30,0.694289
31,0.614782
32,0.781635
33,0.585666
34,0.793953
35,0.743561
36,0.589026
37,0.548712
38,0.774916
39,0.666293
40,0.592385
41,0.553191
42,0.880179
43,0.646137
44,0.452408
45,0.656215
46,0.755879
47,0.399776
48,0.865622
49,0.641657
50,0.466965
51,0.741321
52,0.620381
53,0.621501
54,0.555431
55,0.378499
56,0.752520
57,0.661814
58,0.657335
59,0.415454
60,0.860022
61,0.419933
62,0.237402
63,0.786114
64,0.498320
65,0.625980
66,0.639418
67,0.558791
68,0.526316
69,0.536394
70,0.558791
71,0.472564
72,0.773796
73,0.338186
74,0.536394
75,0.589026
76,0.359462
77,0.902576
78,0.298992
79,0.610302
80,0.384099
81,0.431131
82,0.733483
83,0.459127
84,0.427772
85,0.772676
86,0.575588
87,0.227324
88,0.600224
89,0.393057
90,0.365062
91,0.834267
92,0.335946
93,0.618141
94,0.379619
95,0.486002
96,0.732363
97,0.480403
98,0.285554
99,0.575588
100,0.468085
101,0.511758
102,0.550952
103,0.260918
104,0.498320
105,0.784994
106,0.185890
107,0.704367
108,0.199328
109,0.508399
110,0.546473
111,0.425532
112,0.528555
113,0.489362
114,0.463606
115,0.223964
116,0.365062
117,0.863382
118,0.024636
119,0.812990
120,0.339306
121,0.320269
122,0.328108
123,0.816349
124,0.079507
125,0.502800
126,0.426652
127,0.569989
128,0.612542
129,0.279955
130,0.404255
131,0.378499
132,0.489362
133,0.549832
134,0.553191
135,0.269877
136,0.197088
137,0.524076
138,0.372900
139,0.944009
140,-0.090705
141,0.376260
142,0.312430
143,0.872340
144,0.211646
145,0.645017
146,0.434490
147,0.398656
148,0.399776
149,0.192609
150,0.138858
151,0.617021
152,0.350504
153,0.325868
154,0.580067
155,0.385218
156,0.779395
157,0.077268
158,0.379619
159,0.490482
160,0.486002
161,0.557671
162,0.390817
163,0.556551
164,0.125420
165,0.218365
166,0.541993
167,0.684211
168,0.025756
169,0.325868
170,0.623740
171,0.052632
172,0.655095
173,0.623740
174,0.200448
175,0.312430
176,0.154535
177,0.647256
178,0.396417
179,0.637178
180,-0.020157
181,0.498320
182,0.135498
183,0.574468
184,0.137738
185,0.783875
186,0.095185
187,0.530795
188,0.465845
189,0.085106
190,0.834267
191,0.111982
192,0.647256
193,0.101904
194,0.414334
195,0.238522
196,0.412094
197,0.393057
198,0.120941
199,0.511758
200,0.920493
201,-0.277716
202,0.279955
203,0.707727
204,0.545353
205,0.143337
206,0.371781
207,0.322508
208,0.134378
209,0.769317
210,0.166853
211,0.212766
212,0.577828
213,0.674132
214,-0.132139
215,0.456887
216,0.431131
217,0.328108
218,0.712206
219,0.142217
220,0.204927
221,0.060470
222,0.655095
223,0.163494
224,0.348264
225,0.704367
226,0.257559
227,0.219485
228,0.175812
229,0.426652
230,0.300112
231,0.027996
232,0.945129
233,0.535274
234,0.287794
235,-0.020157
236,0.619261
237,0.072788
238,0.441209
239,0.144457
240,0.575588
241,0.150056
242,0.628219
243,-0.041433
244,0.325868
245,0.219485
246,0.642777
247,0.614782
248,0.083987
249,0.469205
250,-0.072788
251,0.849944
252,0.105263
253,0.151176
254,0.351624
255,0.424412
256,0.690929
257,-0.048152
258,0.605823
259,0.159015
260,0.372900
261,0.247480
262,0.400896
263,0.337066
264,0.369541
265,-0.003359
266,0.643897
267,0.176932
268,0.389698
269,0.388578
270,0.277716
271,0.176932
272,0.507279
273,0.174692
274,0.251960
275,0.438970
276,0.592385
277,-0.190370
278,0.611422
279,-0.024636
280,0.593505
281,0.197088
282,0.388578
283,0.029115
284,0.471445
285,0.483763
286,0.234043
287,0.347144
288,0.002240
289,0.612542
290,0.011198
291,0.556551
292,0.789474
293,-0.110862
294,0.354983
295,0.154535
296,0.513998
297,0.267637
298,0.281075
299,0.188130
300,0.184770
301,0.260918
302,0.380739
303,0.557671
304,0.227324
305,0.451288
306,0.173572
307,0.250840
308,0.296753
309,0.414334
310,0.368421
311,0.094065
312,0.424412
313,0.073908
314,0.257559
315,0.409854
316,0.477044
317,0.025756
318,0.804031
319,0.170213
320,0.318029
321,0.080627
322,0.730123
323,-0.350504
324,0.310190
325,0.414334
326,0.658455
327,-0.042553
328,0.212766
329,0.407615
330,0.198208
331,0.153415
332,0.535274
333,0.124300
334,0.695409
335,0.063830
336,0.293393
337,0.390817
338,0.487122
339,-0.086226
340,0.164614
341,0.223964
342,0.547592
343,0.175812
344,0.191489
345,0.263158
346,0.513998
347,0.460246
348,-0.010078
349,-0.054871
350,0.433371
351,0.868981
352,0.120941
353,0.111982
354,0.352744
355,0.106383
356,0.304591
357,0.077268
358,0.630459
359,0.578947
360,-0.027996
361,0.165733
362,0.460246
363,0.007839
364,0.563270
365,-0.039194
366,0.380739
367,0.517357
368,0.413214
369,-0.118701
370,0.239642
371,0.446809
372,0.509518
373,-0.333707
374,0.792833
375,0.043673
376,0.285554
377,0.246361
378,0.712206
379,0.221725
380,0.132139
381,0.217245
382,0.358343
383,0.047032
384,0.506159
385,0.369541
386,0.539754
387,-0.060470
388,0.125420
389,0.348264
390,0.338186
391,0.073908
392,0.377380
393,-0.060470
394,0.697648
395,0.427772
396,-0.113102
397,0.361702
398,-0.032475
399,0.454647
400,0.711086
401,0.001120
402,0.060470
403,0.417693
404,0.062710
405,0.363942
406,0.366181
407,0.187010
408,0.547592
409,0.097424
410,0.304591
411,0.154535
412,0.071669
413,0.617021
414,0.171333
415,0.342665
416,0.292273
417,0.197088
418,-0.151176
419,0.712206
420,0.026876
421,0.189250
422,0.154535
423,0.487122
424,0.124300
425,0.490482
426,0.362822
427,-0.064950
428,0.460246
429,0.408735
430,0.268757
431,0.118701
432,0.017917
433,0.206047
434,0.325868
435,0.505039
436,0.292273
437,0.333707
438,-0.036954
439,0.122060
440,0.578947
441,0.382979
442,0.114222
443,0.273236
444,0.234043
445,0.000000
446,0.311310
447,0.160134
448,0.487122
449,0.164614
450,0.600224
451,0.090705
452,0.315789
453,-0.096305
454,0.582307
455,-0.076148
456,0.592385
457,0.294513
458,-0.097424
459,0.339306
460,0.272116
461,0.363942
462,0.270997
463,-0.031355
464,0.703247
465,0.265398
466,-0.222844
467,0.509518
468,0.095185
469,0.194849
470,0.519597
471,-0.122060
472,0.521837
473,0.045913
474,0.463606
475,0.016797
476,0.471445
477,0.331467
478,0.015677
479,0.486002
480,0.139978
481,0.146697
482,0.223964
483,0.178052
484,0.248600
485,0.408735
486,0.138858
487,0.141097
488,0.360582
489,0.138858
490,0.530795
491,-0.144457
492,0.572228
493,-0.063830
494,0.220605
495,0.480403
496,-0.014558
497,0.415454
498,0.240761
499,0.132139
500,0.279955
501,0.750280
502,0.110862
503,-0.014558
504,0.281075
505,0.098544
506,0.316909
507,0.017917
508,0.587906
509,-0.038074
510,0.669653
511,-0.073908
512,0.060470
513,0.462486
514,0.432251
515,0.059351
516,0.210526
517,-0.133259
518,0.692049
519,0.232923
520,0.061590
521,0.303471
522,0.073908
523,0.695409
524,0.184770
525,0.017917
526,0.060470
527,0.339306
528,0.296753
529,0.217245
530,-0.082867
531,0.447928
532,0.466965
533,0.026876
534,0.686450
535,-0.398656
536,0.558791
537,0.141097
538,0.131019
539,0.303471
540,0.217245
541,0.055991
542,0.521837
543,0.115342
544,0.072788
545,0.307951
546,0.283315
547,0.218365
548,0.195969
549,0.263158
550,0.413214
551,0.161254
552,0.070549
553,0.427772
554,-0.051512
555,0.223964
556,0.396417
557,0.341545
558,0.016797
559,0.142217
560,0.465845
561,-0.011198
562,0.208287
563,0.187010
564,0.482643
565,0.263158
566,0.237402
567,0.277716
568,0.108623
569,-0.005599
570,0.497200
571,0.061590
572,0.119821
573,0.241881
574,0.248600
575,0.369541
576,0.365062
577,0.143337
578,0.145577
579,0.144457
580,0.243001
581,0.451288
582,0.038074
583,0.388578
584,0.159015
585,0.212766
586,0.269877
587,0.150056
588,0.243001
589,0.232923
590,0.042553
591,0.281075
592,0.207167
593,0.204927
594,0.382979
595,-0.054871
596,0.422172
597,0.333707
598,0.127660
599,0.117581
600,0.325868
601,0.076148
602,0.133259
603,0.340426
604,0.101904
605,0.238522
606,0.234043
607,0.255319
608,0.238522
609,0.136618
610,0.269877
611,0.382979
612,0.248600
613,0.103024
614,0.375140
615,0.077268
616,0.122060
617,0.223964
618,0.293393
619,0.174692
620,0.217245
621,0.113102
622,0.245241
623,0.320269
624,0.043673
625,0.372900
626,0.193729
627,0.151176
628,0.427772
629,0.077268
630,0.306831
631,0.069429
632,0.320269
633,0.176932
634,0.213886
635,0.213886
636,0.097424
637,0.174692
638,0.241881
639,0.380739
640,0.107503
641,0.230683
642,0.071669
643,0.399776
644,0.139978
645,0.274356
646,0.179171
647,0.119821
648,0.231803
649,0.204927
650,0.232923
651,0.199328
652,0.187010
653,0.235162
654,0.235162
655,0.185890
656,0.216125
657,0.200448
658,0.202688
659,0.208287
660,0.185890
661,0.219485
662,0.228443
663,0.189250
