name,region1,region2,region3,region4
A/CH/Basel/362935.c59,europe,switzerland,basel,basel,westerneurope
A/CH/Basel/19771778.c10,europe,switzerland,basel,basel,westerneurope
A/Taiwan/382/2017.c1,china,taiwan,taiwan,china,china
A/NIIGATA/509/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/FUKUOKA-C/17/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/Taiwan/441/2017.c1,china,taiwan,taiwan,china,china
A/KANAGAWA/204/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/YOKOHAMA/139/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/Guangdong-Duanzhou/1359/2017.c1,china,china,china,china,china
A/Guangdong-Yuncheng/1964/2017.c1,china,china,china,china,china
A/TOKYO/17109/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/NAGANO/2298/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/SAGAMIHARA/38/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/Singapore/TT0279/2017.c1,southeastasia,singapore,singapore,southeastasia,southeastasia
A/Sydney/147/2017.c1,oceania,australia,australia,oceania,oceania
A/Victoria/561/2017.c1,oceania,australia,australia,oceania,oceania
A/Brazil/486/2017.c1,southamerica,brazil,brazil,southamerica,southamerica
A/Brazil/347/2017.c1,southamerica,brazil,brazil,southamerica,southamerica
A/Bermuda/0363/2017.c1,northamerica,bermuda,bermuda,northamerica,centralamerica
A/Bermuda/0362/2017.c1,northamerica,bermuda,bermuda,northamerica,centralamerica
A/SENDAI/29/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/NIIGATA-C/44/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/NAGANO-C/49/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/KANAGAWA/IC1631/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/SAPPORO/42/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/Brisbane/27/2017.c1,oceania,australia,australia,oceania,oceania
A/Brisbane/50/2017.c1,oceania,australia,australia,oceania,oceania
A/Sydney/70/2017.c1,oceania,australia,australia,oceania,oceania
A/Victoria/13/2017.c1,oceania,australia,australia,oceania,oceania
A/Brisbane/91/2017.c1,oceania,australia,australia,oceania,oceania
A/Brisbane/46/2017.c1,oceania,australia,australia,oceania,oceania
A/Sydney/110/2017.c1,oceania,australia,australia,oceania,oceania
A/Sydney/89/2017.c1,oceania,australia,australia,oceania,oceania
A/Sydney/101/2017.c1,oceania,australia,australia,oceania,oceania
A/Sydney/64/2017.c1,oceania,australia,australia,oceania,oceania
A/Sydney/111/2017.c1,oceania,australia,australia,oceania,oceania
A/Honduras/0195/2017.c1,northamerica,honduras,honduras,northamerica,centralamerica
A/Honduras/0188/2017.c1,northamerica,honduras,honduras,northamerica,centralamerica
A/Honduras/0187/2017.c1,northamerica,honduras,honduras,northamerica,centralamerica
A/AICHI/315/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/KANAGAWA/206/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/SAPPORO/37/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/GIFU/48/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/KAGAWA/238/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/KAGAWA/191/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/CH/Basel/352754.c1,europe,switzerland,basel,basel,westerneurope
A/CH/Basel/352486.c1,europe,switzerland,basel,basel,westerneurope
A/SouthAuckland/14/2017.c1,oceania,newzealand,newzealand,oceania,oceania
A/Indonesia/Nihrd-Mlg455/2017.c1,southeastasia,indonesia,indonesia,southeastasia,southeastasia
A/Louisiana/15/2017.c1,northamerica,usa,usa,northamerica,usacanada
A/Texas/252/2017.c1,northamerica,usa,usa,northamerica,usacanada
A/Texas/274/2017.c1,northamerica,usa,usa,northamerica,usacanada
A/Bermuda/0364/2017.c1,northamerica,bermuda,bermuda,northamerica,centralamerica
A/Bermuda/0361/2017.c1,northamerica,bermuda,bermuda,northamerica,centralamerica
A/Texas/228/2017.c1,northamerica,usa,usa,northamerica,usacanada
A/KANAGAWA/ZC1616/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/Texas/249/2017.c1,northamerica,usa,usa,northamerica,usacanada
A/Texas/244/2017.c1,northamerica,usa,usa,northamerica,usacanada
A/Texas/259/2017.c1,northamerica,usa,usa,northamerica,usacanada
A/YAMAGATA/122/2017.c1,japankorea,japan,japan,japankorea,japankorea
A/Brisbane/32/2017.c1,oceania,australia,australia,oceania,oceania
A/Brisbane/44/2017.c1,oceania,australia,australia,oceania,oceania
