"We acknowledge the authors, originating and submitting laboratories of the sequences from GISAIDÕs EpiFluª Database on which this research is based. The list is detailed below."							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
							
EPI1311453	PA	United States	2017-Oct-01	A/Nebraska/11/2017	Washington State Public Health Laboratory	Centers for Disease Control and Prevention	
EPI1311454	PB2	United States	2017-Oct-01	A/Nebraska/11/2017	Washington State Public Health Laboratory	Centers for Disease Control and Prevention	
EPI1311455	PB1	United States	2017-Oct-01	A/Nebraska/11/2017	Washington State Public Health Laboratory	Centers for Disease Control and Prevention	
EPI1311450	NP	United States	2017-Oct-01	A/Nebraska/11/2017	Washington State Public Health Laboratory	Centers for Disease Control and Prevention	
EPI1311451	NS	United States	2017-Oct-01	A/Nebraska/11/2017	Washington State Public Health Laboratory	Centers for Disease Control and Prevention	
EPI1311452	MP	United States	2017-Oct-01	A/Nebraska/11/2017	Washington State Public Health Laboratory	Centers for Disease Control and Prevention	
EPI1311456	NA	United States	2017-Oct-01	A/Nebraska/11/2017	Washington State Public Health Laboratory	Centers for Disease Control and Prevention	
EPI1311457	HA	United States	2017-Oct-01	A/Nebraska/11/2017	Washington State Public Health Laboratory	Centers for Disease Control and Prevention	
EPI1311437	PA	United States	2017-Sep-26	A/District Of Columbia/02/2017	Maryland Department of Health and Mental Hygiene	Centers for Disease Control and Prevention	
EPI1311438	PB2	United States	2017-Sep-26	A/District Of Columbia/02/2017	Maryland Department of Health and Mental Hygiene	Centers for Disease Control and Prevention	
EPI1311439	PB1	United States	2017-Sep-26	A/District Of Columbia/02/2017	Maryland Department of Health and Mental Hygiene	Centers for Disease Control and Prevention	
EPI1311434	NP	United States	2017-Sep-26	A/District Of Columbia/02/2017	Maryland Department of Health and Mental Hygiene	Centers for Disease Control and Prevention	
EPI1311435	NS	United States	2017-Sep-26	A/District Of Columbia/02/2017	Maryland Department of Health and Mental Hygiene	Centers for Disease Control and Prevention	
EPI1311436	MP	United States	2017-Sep-26	A/District Of Columbia/02/2017	Maryland Department of Health and Mental Hygiene	Centers for Disease Control and Prevention	
EPI1311440	NA	United States	2017-Sep-26	A/District Of Columbia/02/2017	Maryland Department of Health and Mental Hygiene	Centers for Disease Control and Prevention	
EPI1311441	HA	United States	2017-Sep-26	A/District Of Columbia/02/2017	Maryland Department of Health and Mental Hygiene	Centers for Disease Control and Prevention	
EPI1311413	PA	United States	2017-Aug-01	A/Ohio/28/2017	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention	
EPI1311414	PB2	United States	2017-Aug-01	A/Ohio/28/2017	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention	
EPI1311415	PB1	United States	2017-Aug-01	A/Ohio/28/2017	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention	
EPI1311410	NP	United States	2017-Aug-01	A/Ohio/28/2017	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention	
EPI1311411	NS	United States	2017-Aug-01	A/Ohio/28/2017	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention	
EPI1311412	MP	United States	2017-Aug-01	A/Ohio/28/2017	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention	
EPI1311416	NA	United States	2017-Aug-01	A/Ohio/28/2017	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention	
EPI1311417	HA	United States	2017-Aug-01	A/Ohio/28/2017	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention	
EPI1301535	NP	Japan	2017-Oct-10	A/Japan/RGN0214/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
